全日本ベンチプレス選手権大会,2011-02-12,1,0,,,,,,,,,,,,,,
岸本 洋一,1,1,0,33,89.2,0,0,0,240,250,-255,0,0,0,250,2,160.33
葛西 昌彦,1,1,0,40,89.25,0,0,0,230,240,-252.5,0,0,0,240,3,153.91
荒川 大介,1,1,0,32,90.1,0,0,0,220,230,-242.5,0,0,0,230,4,146.74
渡邊 勝也,1,1,0,38,92.55,0,0,0,230,-240,-242.5,0,0,0,230,5,144.85
梁本 智弘,1,1,0,24,92.25,0,0,0,-200,200,207.5,0,0,0,207.5,6,130.89
伊東 真人,1,1,0,21,92.85,0,0,0,185,195,-205,0,0,0,195,7,122.62
橋本 和博,1,1,0,40,92.45,0,0,0,180,-190,-190,0,0,0,180,8,113.42
鍋倉 光,1,1,0,21,91.9,0,0,0,165,-172.5,172.5,0,0,0,172.5,9,108.99
山本 暁与,1,1,0,19,86.15,0,0,0,170,-180,-180,0,0,0,170,10,111.11
伊東 永悟,1,1,0,42,98.95,0,0,0,280,-285,-290,0,0,0,280,1,171.16
後藤 衆治,1,1,0,42,104.5,0,0,0,245,255,-282.5,0,0,0,255,2,152.64
山森 智行,1,1,0,38,102.5,0,0,0,240,-250,250,0,0,0,250,3,150.7
阿久津 貴史,1,1,0,28,99.35,0,0,0,-242.5,-242.5,242.5,0,0,0,242.5,4,148
佐藤 宏樹,1,1,0,22,98.3,0,0,0,230,-240,240,0,0,0,240,5,147.1
伊藤 智,1,1,0,44,103.95,0,0,0,-240,240,-282.5,0,0,0,240,6,143.95
荒川 孝行,1,1,0,32,93.3,0,0,0,220,230,-240,0,0,0,230,7,144.26
田中 哲也,1,1,0,49,101.75,0,0,0,220,-230,-230,0,0,0,220,8,133.01
岡山 三紀,1,1,0,38,103.05,0,0,0,-220,-220,220,0,0,0,220,9,132.37
印藤 正晴,1,1,0,26,104.65,0,0,0,200,-210,-222.5,0,0,0,200,10,119.68
松田 崇宏,1,1,0,39,101,0,0,0,190,-195,-195,0,0,0,190,11,115.14
上田 真司,1,1,0,39,119.05,0,0,0,320,-330,-330,0,0,0,320,1,184.35
奈良田 智,1,1,0,37,119.7,0,0,0,265,-275,-275,0,0,0,265,2,152.45
山口 勝司,1,1,0,22,119.55,0,0,0,210,215,-220,0,0,0,215,3,123.73
花田 俊博,1,1,0,19,108.8,0,0,0,-200,200,-215,0,0,0,200,4,118.1
樋口 重敏,1,1,0,33,111.4,0,0,0,190,200,-220,0,0,0,200,5,117.26
渡邊 任,1,1,0,22,113.75,0,0,0,-200,-200,200,0,0,0,200,6,116.56
立花 浩二,1,1,0,45,115.9,0,0,0,190,195,-200,0,0,0,195,7,113.08
三土手 大介,1,1,0,38,141.2,0,0,0,-310,310,-322.5,0,0,0,310,1,173.01
梶井 俊宏,1,1,0,30,120.25,0,0,0,295,-302.5,-310,0,0,0,295,2,169.54
和田 高平,1,1,0,46,135.4,0,0,0,275,-290,-290,0,0,0,275,3,154.47
江添 和昭,1,1,0,35,153.1,0,0,0,230,240,250,0,0,0,250,4,137.93
